accession	monosaccharide
G00294BL	HexNAc
G00294BL	aldi
G00294BL	dHex
G00294TN	Fuc
G00294TN	Gal
G00294TN	GlcNAc
G00294TN	Hex
G00294TN	HexNAc
G00294TN	dHex
G00298HY	GlcNAc
G00298HY	Hex
G00298HY	HexNAc
G00298HY	Man
G00304VG	Xxx
G00306VT	Fuc
G00306VT	Gal
G00306VT	Hex
G00306VT	dHex
G00311MF	Gal
G00311MF	GalNAc
G00311MF	Hex
G00311MF	HexNAc
G00313OR	Hex
G00313OR	HexNAc
G00313OR	HexNAc+aldi
G00313OR	aldi
G00318AV	Fuc
G00318AV	Gal
G00318AV	GlcNAc
G00318AV	Hex
G00318AV	HexNAc
G00318AV	Man
G00318AV	NeuAc
G00318AV	Sia
G00318AV	dHex
G00320ZP	Gal
G00320ZP	GlcNAc
G00320ZP	Hex
G00320ZP	HexNAc
G00320ZP	Man
G00320ZP	NeuAc
G00320ZP	Sia
G00325UK	Fuc
G00325UK	Gal
G00325UK	GalNAc
G00325UK	GlcNAc
G00325UK	Hex
G00325UK	HexNAc
G00325UK	Man
G00325UK	NeuAc
G00325UK	Sia
G00325UK	dHex
G00328CG	Gal
G00328CG	GlcNAc
G00328CG	Hex
G00328CG	HexNAc
G00328CG	Man
G00328CG	NeuAc
G00328CG	Sia
G00328HB	GlcNAc
G00328HB	Hex
G00328HB	HexNAc
G00328HB	Man
G00331XG	Fuc
G00331XG	Gal
G00331XG	GlcNAc
G00331XG	GlcNAc+aldi
G00331XG	Hex
G00331XG	HexNAc
G00331XG	HexNAc+aldi
G00331XG	Man
G00331XG	aldi
G00331XG	dHex
G00335DM	GlcNAc
G00335DM	Hex
G00335DM	HexNAc
G00335DM	Man
G00335JE	Gal
G00335JE	GalNAc
G00335JE	GlcNAc
G00335JE	Hex
G00335JE	HexNAc
G00335JE	NeuGc
G00335JE	Sia
G00335TI	Hex
G00335TI	HexNAc
G00336XG	Gal
G00336XG	Glc
G00336XG	GlcNAc
G00336XG	Hex
G00336XG	HexNAc
G00338CG	Gal
G00338CG	Glc
G00338CG	Hex
G00338CG	NeuGc
G00338CG	Sia
G00338CG	X
G00349CA	Gal
G00349CA	GlcNAc
G00349CA	Hex
G00349CA	HexNAc
G00349CA	Man
G00361YF	GlcNAc
G00361YF	Hex
G00361YF	HexNAc
G00361YF	Man
G00362UY	Fuc
G00362UY	GlcNAc
G00362UY	HexNAc
G00362UY	dHex
G00368HM	Fuc
G00368HM	Gal
G00368HM	GlcNAc
G00368HM	Hex
G00368HM	HexNAc
G00368HM	Man
G00368HM	NeuGc
G00368HM	Sia
G00368HM	dHex
G00370EI	Gal
G00370EI	Glc
G00370EI	GlcNAc
G00370EI	Hex
G00370EI	HexNAc
G00370EI	NeuAc
G00370EI	Sia
G00371DJ	Fuc
G00371DJ	Gal
G00371DJ	GalNAc
G00371DJ	GlcNAc
G00371DJ	Hex
G00371DJ	HexNAc
G00371DJ	dHex
G00376RB	Fuc
G00376RB	Gal
G00376RB	GalNAc
G00376RB	GalNAc+aldi
G00376RB	GlcNAc
G00376RB	Hex
G00376RB	HexNAc
G00376RB	HexNAc+aldi
G00376RB	aldi
G00376RB	dHex
G00379PJ	Gal
G00379PJ	GalNAc
G00379PJ	Hex
G00379PJ	HexNAc
G00379PJ	NeuAc
G00379PJ	Sia
G00381YD	GlcNAc
G00381YD	GlcNAc+aldi
G00381YD	Hex
G00381YD	HexNAc
G00381YD	HexNAc+aldi
G00381YD	Man
G00381YD	aldi
G00383KP	Fuc
G00383KP	Gal
G00383KP	GlcNAc
G00383KP	Hex
G00383KP	HexNAc
G00383KP	Man
G00383KP	dHex
G00383YF	Gal
G00383YF	GlcNAc
G00383YF	Hex
G00383YF	HexNAc
G00383YF	Man
G00386WN	GalNAc
G00386WN	HexNAc
G00386WN	S
G00386WN	Xxx
G00390GQ	Hex
G00390GQ	HexNAc
G00390GQ	NeuAc
G00390GQ	Sia
G00394CR	Fuc
G00394CR	Gal
G00394CR	GalNAc
G00394CR	GlcNAc
G00394CR	Hex
G00394CR	HexNAc
G00394CR	dHex
G00395FS	Glc
G00395FS	Hex
G00395TQ	Fuc
G00395TQ	GlcNAc
G00395TQ	Hex
G00395TQ	HexNAc
G00395TQ	Man
G00395TQ	dHex
G00396DP	Fuc
G00396DP	GlcNAc
G00396DP	Hex
G00396DP	HexNAc
G00396DP	Man
G00396DP	dHex
G00396IE	Fuc
G00396IE	Gal
G00396IE	GlcNAc
G00396IE	Hex
G00396IE	HexNAc
G00396IE	Man
G00396IE	dHex
G00399LG	GalNAc
G00399LG	GlcNAc
G00399LG	HexNAc
G00401IE	Gal
G00401IE	Hex
G00406II	Hex
G00406II	HexNAc
G00406II	dHex
G00407UJ	Gal
G00407UJ	GalNAc
G00407UJ	Glc
G00407UJ	Hex
G00407UJ	HexNAc
G00412SV	Fuc
G00412SV	GlcNAc
G00412SV	Hex
G00412SV	HexNAc
G00412SV	Man
G00412SV	Pent
G00412SV	Xyl
G00412SV	dHex
G00413UF	Gal
G00413UF	GlcNAc
G00413UF	Hex
G00413UF	HexNAc
G00413UF	Man
G00413UF	NeuAc
G00413UF	Sia
G00420UH	Hex
G00420UH	HexNAc
G00420UH	NeuAc
G00420UH	Sia
G00423RQ	Xxx
G00423TL	Gal
G00423TL	GalNAc
G00423TL	GlcNAc
G00423TL	Hex
G00423TL	HexNAc
G00423TL	S
G00428HK	Fuc
G00428HK	Gal
G00428HK	GalNAc
G00428HK	GalNAc+aldi
G00428HK	GlcNAc
G00428HK	Hex
G00428HK	HexNAc
G00428HK	HexNAc+aldi
G00428HK	aldi
