GlyTouCanAccession	Name	Domain
G09816OK	H3NS	ShortComp
G09816OK	HexNAc(1)Hex(3)NeuAc(1)	Byonic
G09816OK	HexNAc1Hex3NeuAc1	ShortUniCarbKB
G09816OK	HexNAc1Hex3dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G09831WQ	H9N8FS	ShortComp
G09831WQ	HexNAc(8)Hex(9)Fuc(1)NeuAc(1)	Byonic
G09912GB	HexNAc(3)Hex(3)dHex(2)NeuAc(2)	Byonic
G09912GB	HexNAc3Hex3dHex2NeuAc2	ShortUniCarbKB
G09912GB	HexNAc3Hex3dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G09969JI	HexNAc(1)Hex(4)dHex(1)NeuAc(1)	Byonic
G09969JI	HexNAc1Hex4dHex1NeuAc1	ShortUniCarbKB
G09969JI	HexNAc1Hex4dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G10033OC	HexNAc(5)Hex(6)dHex(1)NeuAc(1)NeuGc(2)	Byonic
G10033OC	HexNAc5Hex6dHex1NeuAc1NeuGc2	ShortUniCarbKB
G10033OC	HexNAc5Hex6dHex1NeuAc1NeuGc2Pent0S0P0KDN0HexA0	UniCarbKB
G10136GN	H3NS5	ShortComp
G10136GN	HexNAc(1)Hex(3)NeuAc(5)	Byonic
G10136GN	HexNAc1Hex3NeuAc5	ShortUniCarbKB
G10136GN	HexNAc1Hex3dHex0NeuAc5NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G10339FR	HexNAc(3)Hex(4)dHex(1)	Byonic
G10339FR	HexNAc3Hex4dHex1	ShortUniCarbKB
G10339FR	HexNAc3Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G10486CT	H5N4	ShortComp
G10486CT	HexNAc(4)Hex(5)	Byonic
G10486CT	HexNAc4Hex5	ShortUniCarbKB
G10486CT	HexNAc4Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G10488MI	H3N6F2	ShortComp
G10488MI	HexNAc(6)Hex(3)Fuc(2)	Byonic
G10819WX	H6N5F2	ShortComp
G10819WX	HexNAc(5)Hex(6)Fuc(2)	Byonic
G10846ZT	H6N4F3	ShortComp
G10846ZT	HexNAc(4)Hex(6)Fuc(3)	Byonic
G11009FR	HexNAc(4)Hex(4)dHex(3)	Byonic
G11009FR	HexNAc4Hex4dHex3	ShortUniCarbKB
G11009FR	HexNAc4Hex4dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11101UV	H9N6FS2	ShortComp
G11101UV	HexNAc(6)Hex(9)Fuc(1)NeuAc(2)	Byonic
G11115RO	H7N6S4	ShortComp
G11115RO	HexNAc(6)Hex(7)NeuAc(4)	Byonic
G11115RO	HexNAc6Hex7NeuAc4	ShortUniCarbKB
G11115RO	HexNAc6Hex7dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11145KS	HexNAc(6)Hex(3)dHex(1)Sulpho(1)	Byonic
G11145KS	HexNAc6Hex3dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G11145KS	HexNAc6Hex3dHex1S1	ShortUniCarbKB
G11157ZG	H5N3S2	ShortComp
G11157ZG	HexNAc(3)Hex(5)NeuAc(2)	Byonic
G11157ZG	HexNAc3Hex5NeuAc2	ShortUniCarbKB
G11157ZG	HexNAc3Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11206IW	HexNAc(6)Hex(6)dHex(1)NeuAc(1)Sulpho(2)	Byonic
G11206IW	HexNAc6Hex6dHex1NeuAc1NeuGc0Pent0S2P0KDN0HexA0	UniCarbKB
G11206IW	HexNAc6Hex6dHex1NeuAc1S2	ShortUniCarbKB
G11235SR	HexNAc(1)Hex(2)dHex(1)	Byonic
G11235SR	HexNAc1Hex2dHex1	ShortUniCarbKB
