GlyTouCanAccession	CFGAccession
G25799AL	carbNlink_40532_D000
G25835YC	carbOlink_20803_D000
G25886YT	carbNlink_45246_D000
G25890BU	carbNlink_40826_D000
G25894QG	carbNlink_40939_D000
G25894QG	carbNlink_45060_D000
G25902AL	carbNlink_20740_D000
G25902AL	carbNlink_20965_D000
G25937FN	carbOlink_20980_D000
G26099QT	carbOlink_20859_D000
G26144DH	carbNlink_20798_D000
G26150FI	carbNlink_32923_A
G26164VG	carbNlink_21364_P
G26164VG	carbNlink_21387_P
G26179TW	carbNlink_43343_D000
G26206DX	carbNlink_20957_D000
G26215AL	carbNlink_41551_D000
G26326KX	carbNlink_41159_D000
G26394UA	carbNlink_46336_D000
G26653MA	carbNlink_41631_D000
G26703BH	carbNlink_31600_A
G26709HU	carbNlink_30396_A
G26730QM	carbNlink_40606_D000
G26877ST	carbNlink_44276_D000
G27025MB	carbOlink_20293_D000
G27025MB	carbOlink_35751_A
G27025MB	carbOlink_35752_A
G27025MB	carbOlink_35756_A
G27025MB	carbOlink_35814_A
G27025MB	carbOlink_35821_A
G27025MB	carbOlink_35837_A
G27025MB	carbOlink_35839_A
G27025MB	carbOlink_35840_A
G27025MB	carbOlink_35842_A
G27025MB	carbOlink_35857_A
G27025MB	carbOlink_35862_A
G27025MB	carbOlink_35864_A
G27025MB	carbOlink_35877_A
G27025MB	carbOlink_35882_A
G27025MB	carbOlink_35884_A
G27025MB	carbOlink_35898_A
G27025MB	carbOlink_35947_A
G27040MJ	carbNlink_41251_D000
G27048LG	carbNlink_40341_D000
G27119UQ	carbNlink_46615_D000
G27139SJ	carbNlink_20507_D000
G27139SJ	carbNlink_41630_D000
G27316ME	carbNlink_32963_A
G27478HS	carbNlink_41448_D000
G27571QK	carbNlink_43174_D000
G27587OB	carbNlink_47235_D000
G27603XJ	carbOlink_21009_D000
G27692UI	carbNlink_20475_D000
G27720WY	carbNlink_40771_D000
G27809HS	carbNlink_47203_D000
G27874QL	carbNlink_21080_D000
G27874QL	carbNlink_44160_D000
G27929ZE	carbNlink_41173_D000
G27929ZE	carbNlink_45264_D000
G28330DZ	carbNlink_20638_D000
G28330DZ	carbNlink_40618_D000
G28330DZ	carbNlink_42507_D000
G28387ZC	carbNlink_21345_P
G28436VD	carbNlink_21026_D000
G28449NP	carbNlink_31331_A
G28459KM	carbNlink_40646_D000
G28654UV	carbNlink_20721_D000
G28654UV	carbNlink_40959_D000
G28659UB	carbNlink_20420_D000
G28659UB	carbNlink_41558_D000
G28678TH	carbNlink_42462_D000
G28720MP	carbNlink_45163_D000
G28720MP	carbNlink_46465_D000
G28896CL	carbNlink_20681_D000
G28896CL	carbNlink_42493_D000
G28960YA	carbOlink_21284_D000
G28962GO	carbNlink_21091_D000
