NCBI TaxID	Scientific Name	Common Name	Rank	Aggr	GlyTouCan	GlyCosmos	GlyConnect	GlyGen	Total
1793	Mycolicibacterium fallax		species	as annotated	3	3	0	0	3
1796	Mycolicibacterium senegalense		species	as annotated	7	14	0	1	14
1802	Mycolicibacterium farcinogenes		species	as annotated	0	1	0	1	1
1809	Mycobacterium ulcerans		species	as annotated	1	1	0	0	1
1817	Nocardia		genus	as annotated	1	7	0	4	7
1824	Nocardia asteroides		species	as annotated	3	8	0	0	8
1827	Rhodococcus		genus	as annotated	0	4	0	0	4
1829	Rhodococcus rhodochrous		species	as annotated	0	8	0	1	8
1830	Rhodococcus ruber		species	as annotated	0	1	0	0	1
1831	Rhodococcus sp. (in: high G+C Gram-positive bacteria)		species	as annotated	1	5	0	1	5
1839	Nocardioides		genus	as annotated	2	2	0	0	2
1844	Nocardioides luteus		species	as annotated	0	1	0	0	1
1865	Actinoplanes		genus	as annotated	0	1	0	0	1
1871	Actinoplanes sp.		species	as annotated	0	2	0	0	2
1873	Micromonospora		genus	as annotated	0	1	0	0	1
1883	Streptomyces		genus	as annotated	2	20	0	1	20
1892	Streptomyces anulatus		species	as annotated	0	1	0	0	1
1902	Streptomyces coelicolor		species	as annotated	0	1	0	0	1
1906	Streptomyces fradiae		species	as annotated	0	2	0	0	2
1911	Streptomyces griseus		species	as annotated	0	1	0	0	1
1912	Streptomyces hygroscopicus		species	as annotated	0	8	0	1	8
1924	Streptomyces purpurascens		species	as annotated	1	1	0	0	1
1931	Streptomyces sp.		species	as annotated	0	18	0	0	18
1936	Streptomyces violaceus		species	as annotated	0	1	0	0	1
1967	Streptomyces kanamyceticus		species	as annotated	6	6	0	1	6
2013	Nocardiopsis		genus	as annotated	0	1	0	0	1
2060	Tsukamurella		genus	as annotated	0	5	0	0	5
2104	Mycoplasmoides pneumoniae	Filterable agent of primary atypical pneumonia	species	as annotated	2	2	0	2	2
2115	Mycoplasmopsis fermentans		species	as annotated	0	1	0	0	1
2147	Acholeplasma		genus	as annotated	0	2	0	1	2
2148	Acholeplasma laidlawii		species	as annotated	0	7	0	2	7
2157	Archaea		superkingdom	as annotated	1	2	0	0	2
2180	Methanothermus fervidus		species	as annotated	0	1	0	0	1
2188	Methanococcus voltae		species	as annotated	0	2	0	0	2
2190	Methanocaldococcus jannaschii		species	as annotated	0	1	0	1	1
2203	Methanospirillum hungatei		species	as annotated	0	3	0	1	3
2207	Methanosarcina		genus	as annotated	0	1	0	0	1
2222	Methanothrix		genus	as annotated	0	1	0	0	1
2239	Halobacterium		genus	as annotated	0	8	0	1	8
2242	Halobacterium salinarum		species	as annotated	2	10	1	1	11
2246	Haloferax volcanii		species	as annotated	1	3	2	2	4
2248	Halorubrum saccharovorum		species	as annotated	0	2	0	0	2
2252	Haloferax mediterranei		species	as annotated	0	2	0	0	2
2256	Natronobacterium		genus	as annotated	0	1	0	0	1
2265	Thermococcus litoralis		species	as annotated	1	1	0	0	1
2285	Sulfolobus acidocaldarius		species	as annotated	0	0	1	0	1
2336	Thermotoga maritima		species	as annotated	0	1	0	0	1
2706	Citrus		genus	as annotated	0	7	0	0	7
2711	Citrus sinensis	Valencia orange	species	as annotated	0	2	17	1	19
2759	Eukaryota	eukaryotes	superkingdom	as annotated	0	0	1	0	1
2763	Rhodophyta	rhodophytes	phylum	as annotated	0	3	0	1	3
2779	Gracilaria tikvahiae		species	as annotated	0	2	0	0	2
2786	Porphyra umbilicalis		species	as annotated	0	8	0	0	8
2824	Gloiopeltis complanata		species	as annotated	0	1	0	0	1
2870	Phaeophyceae		class	as annotated	0	1	0	0	1
2903	Emiliania huxleyi		species	as annotated	0	13	0	0	13
3039	Euglena gracilis		species	as annotated	0	1	0	1	1
3055	Chlamydomonas reinhardtii		species	as annotated	0	0	12	0	12
3067	Volvox carteri		species	as annotated	0	3	0	3	3
3068	Volvox carteri f. nagariensis		forma	as annotated	0	4	5	4	9
3071	Chlorella		genus	as annotated	0	5	0	1	5
3077	Chlorella vulgaris		species	as annotated	0	2	0	0	2
3112	Prototheca zopfii		species	as annotated	0	1	0	0	1
3129	Bryopsis maxima		species	as annotated	0	1	0	0	1
3193	Embryophyta	plants	clade	as annotated	0	30	0	12	30
3208	Bryophyta		clade	as annotated	0	3	0	1	3
3218	Physcomitrium patens		species	as annotated	0	0	19	0	19
3297	Cycadales		order	as annotated	0	1	0	1	1
3311	Ginkgo biloba	ginkgo	species	as annotated	0	1	9	1	10
3321	Cedrus		genus	as annotated	0	1	0	0	1
3325	Larix		genus	as annotated	0	12	0	2	12
3328	Picea		genus	as annotated	0	2	0	0	2
3333	Picea rubens	red spruce	species	as annotated	0	1	0	0	1
3337	Pinus		genus	as annotated	0	4	0	0	4
3346	Pinus pinea	pignolia-nut pine	species	as annotated	0	0	11	0	11
3357	Pseudotsuga menziesii		species	as annotated	0	2	0	0	2
3369	Cryptomeria japonica		species	as annotated	0	8	4	1	12
3435	Persea americana		species	as annotated	0	3	21	2	24
3438	Umbellularia californica	California bay tree	species	as annotated	0	2	0	0	2
3465	Papaveraceae	poppy family	family	as annotated	0	1	0	0	1
3484	Humulus		genus	as annotated	0	1	0	0	1
3486	Humulus lupulus	common hop	species	as annotated	0	1	0	0	1
3489	Artocarpus heterophyllus		species	as annotated	0	1	0	1	1
3503	Fagaceae	beech family	family	as annotated	0	4	0	0	4
3504	Betula	birches	genus	as annotated	0	1	0	0	1
3511	Quercus		genus	as annotated	0	1	0	0	1
3526	Phytolacca		genus	as annotated	0	8	0	3	8
3527	Phytolacca americana	Virginia poke	species	as annotated	0	2	0	1	2
3528	Phytolacca acinosa	shang lu	species	as annotated	0	2	0	1	2
3541	Bougainvillea glabra		species	as annotated	0	1	0	0	1
3555	Beta vulgaris subsp. vulgaris	table beet	subspecies	as annotated	0	5	0	1	5
3562	Spinacia oleracea		species	as annotated	0	6	3	3	9
3573	Silene		genus	as annotated	0	3	0	3	3
3579	Cerastium		genus	as annotated	0	1	0	0	1
3609	Rhamnus		genus	as annotated	0	3	0	0	3
3617	Fagopyrum esculentum		species	as annotated	0	1	18	1	19
