accession	monosaccharide	count
G00231IQ	Man	4
G00231IQ	NeuAc	1
G00231IQ	Sia	1
G00231IQ	dHex	1
G00231WL	*	17
G00231WL	Fuc	1
G00231WL	Gal	4
G00231WL	GlcNAc	6
G00231WL	Hex	7
G00231WL	HexNAc	6
G00231WL	Man	3
G00231WL	NeuAc	3
G00231WL	S	1
G00231WL	Sia	3
G00231WL	dHex	1
G00232ED	*	10
G00232ED	Hex	4
G00232ED	HexNAc	5
G00232ED	NeuAc	1
G00232ED	S	1
G00232ED	Sia	1
G00235HI	*	12
G00235HI	Hex	6
G00235HI	HexNAc	5
G00235HI	NeuAc	1
G00235HI	Sia	1
G00247JV	*	11
G00247JV	GlcNAc	2
G00247JV	Hex	9
G00247JV	HexNAc	2
G00247JV	Man	9
G00247PL	*	10
G00247PL	Fuc	1
G00247PL	Gal	1
G00247PL	GlcNAc	4
G00247PL	Hex	5
G00247PL	HexNAc	4
G00247PL	Man	4
G00247PL	dHex	1
G00249IY	*	11
G00249IY	Fuc	2
G00249IY	Gal	2
G00249IY	GlcNAc	4
G00249IY	Hex	5
G00249IY	HexNAc	4
G00249IY	Man	3
G00249IY	dHex	2
G00249XF	*	5
G00249XF	Gal	2
G00249XF	GalNAc	1
G00249XF	GlcNAc	2
G00249XF	Hex	2
G00249XF	HexNAc	3
G00249XF	S	1
G00249XR	*	12
G00249XR	GlcNAc	2
G00249XR	Hex	5
G00249XR	HexNAc	5
G00249XR	Man	3
G00249XR	dHex	2
G00257UQ	*	7
G00257UQ	Fuc	1
G00257UQ	Gal	2
G00257UQ	GalNAc	1
G00257UQ	GalNAc+aldi	1
G00257UQ	GlcNAc	1
G00257UQ	Hex	2
G00257UQ	HexNAc	2
G00257UQ	HexNAc+aldi	1
G00257UQ	NeuAc	2
G00257UQ	S	1
G00257UQ	Sia	2
G00257UQ	aldi	1
G00257UQ	dHex	1
G00258QK	*	7
G00258QK	Fuc	1
G00258QK	Gal	1
G00258QK	GlcNAc	2
G00258QK	Hex	4
G00258QK	HexNAc	2
G00258QK	Man	3
G00258QK	dHex	1
G00272VU	*	8
G00272VU	Fuc	2
G00272VU	Gal	1
G00272VU	GlcNAc	3
G00272VU	Hex	3
G00272VU	HexNAc	3
G00272VU	Man	2
G00272VU	dHex	2
G00273SJ	*	13
G00273SJ	Fuc	4
G00273SJ	Hex	5
G00273SJ	HexNAc	4
G00273SJ	dHex	4
G00277SO	*	7
G00277SO	Fuc	2
G00277SO	Gal	2
G00277SO	GalNAc	1
G00277SO	GlcNAc	2
G00277SO	Hex	2
G00277SO	HexNAc	3
G00277SO	dHex	2
G00279YF	*	9
G00279YF	GalNAc	1
G00279YF	GlcNAc	5
G00279YF	Hex	3
G00279YF	HexNAc	6
G00279YF	Man	3
G00281HB	*	9
G00281HB	Gal	1
G00281HB	GlcNAc	3
G00281HB	Hex	6
G00281HB	HexNAc	3
G00281HB	Man	5
G00283TT	*	3
G00283TT	Fuc	1
G00283TT	GlcNAc	1
G00283TT	HexNAc	1
G00283TT	dHex	2
G00284SJ	*	7
G00284SJ	Gal	1
G00284SJ	GlcNAc	2
G00284SJ	Hex	5
G00284SJ	HexNAc	2
G00284SJ	Man	4
G00287UD	*	8
G00287UD	Gal	3
G00287UD	GalNAc	1
G00287UD	GalNAc+aldi	1
G00287UD	GlcNAc	4
G00287UD	Hex	3
G00287UD	HexNAc	5
G00287UD	HexNAc+aldi	1
G00287UD	aldi	1
G00288QM	*	6
G00288QM	Gal	3
G00288QM	GalNAc	1
G00288QM	Glc	1
G00288QM	GlcNAc	1
G00288QM	Hex	4
G00288QM	HexNAc	2
G00288RP	*	7
G00288RP	Fuc	2
G00288RP	Gal	3
G00288RP	GalNAc	1
G00288RP	GlcNAc	1
G00288RP	Hex	3
G00288RP	HexNAc	2
G00288RP	dHex	2
G00293HN	*	1
G00293HN	Hex	1
G00294BL	*	4
G00294BL	Fuc	1
G00294BL	Gal	2
G00294BL	Gal+aldi	1
G00294BL	GlcNAc	1
G00294BL	Hex	2
G00294BL	Hex+aldi	1
G00294BL	HexNAc	1
G00294BL	aldi	1
G00294BL	dHex	1
G00294TN	*	4
G00294TN	Fuc	1
G00294TN	Gal	2
G00294TN	GlcNAc	1
G00294TN	Hex	2
G00294TN	HexNAc	1
G00294TN	dHex	1
G00298HY	*	3
G00298HY	GlcNAc	2
G00298HY	Hex	1
G00298HY	HexNAc	2
G00298HY	Man	1
G00304VG	*	2
G00304VG	GlcN	1
G00304VG	HexN	1
G00304VG	S	2
G00304VG	Xxx	1
G00306VT	*	3
G00306VT	Fuc	1
G00306VT	Gal	2
G00306VT	Hex	2
G00306VT	dHex	1
G00311MF	*	3
G00311MF	Gal	2
G00311MF	GalNAc	1
G00311MF	Hex	2
G00311MF	HexNAc	1
G00313OR	*	6
