GlyTouCanAccession	ChEBIAccession
G05189JQ	CHEBI:145581
G05189YS	CHEBI:146777
G05195BC	CHEBI:146778
G05212BT	CHEBI:156753
G05216VK	CHEBI:146787
G05234QD	CHEBI:157010
G05235KE	CHEBI:146789
G05252XR	CHEBI:71564
G05254OQ	CHEBI:146790
G05260RH	CHEBI:146793
G05286IK	CHEBI:72599
G05286IK	CHEBI:85663
G05297EK	CHEBI:146795
G05297UU	CHEBI:146796
G05307LM	CHEBI:156635
G05315FT	CHEBI:146798
G05319BS	CHEBI:146801
G05324AQ	CHEBI:146803
G05337KJ	CHEBI:146804
G05353EZ	CHEBI:146806
G05357CB	CHEBI:146809
G05374TU	CHEBI:146811
G05378UG	CHEBI:146813
G05384WR	CHEBI:146815
G05390PH	CHEBI:146816
G05402FG	CHEBI:146819
G05441GN	CHEBI:146823
G05478GN	CHEBI:146825
G05484KA	CHEBI:146826
G05546WG	CHEBI:146828
G05552HC	CHEBI:146831
G05561CF	CHEBI:146833
G05561HT	CHEBI:146835
G05562XX	CHEBI:146837
G05562YT	CHEBI:90445
G05564UH	CHEBI:234260
G05581UW	CHEBI:146838
G05600OX	CHEBI:146841
G05611SB	CHEBI:146843
G05615BG	CHEBI:146845
G05644LC	CHEBI:146847
G05654CV	CHEBI:146849
G05671AC	CHEBI:146851
G05674CR	CHEBI:146853
G05675LB	CHEBI:157344
G05690OR	CHEBI:157116
G05704WW	CHEBI:146855
G05724WC	CHEBI:146857
G05756YF	CHEBI:146859
G05768VS	CHEBI:146861
G05769VV	CHEBI:146863
G05784LD	CHEBI:146865
G05784QE	CHEBI:146867
G05793ZC	CHEBI:146868
G05794RZ	CHEBI:146870
G05803KC	CHEBI:146873
G05811XG	CHEBI:146875
G05829TG	CHEBI:146877
G05835TV	CHEBI:146878
G05840XL	CHEBI:146881
G05848DX	CHEBI:146883
G05855AL	CHEBI:146885
G05890XZ	CHEBI:146887
G05892GB	CHEBI:146888
G05908GN	CHEBI:65181
