GlyTouCanAccession	Resource	EntryID
G00229VQ	glycosmos	G00229VQ
G00230BS	glycosmos	G00230BS
G00230BV	glycosmos	G00230BV
G00230CO	glycosmos	G00230CO
G00230IL	glycosmos	G00230IL
G00230KM	glycosmos	G00230KM
G00231IQ	glycosmos	G00231IQ
G00231MK	glycosmos	G00231MK
G00231VK	glycosmos	G00231VK
G00231WL	glycosmos	G00231WL
G00232ED	glycosmos	G00232ED
G00232RE	glycosmos	G00232RE
G00232RJ	glycosmos	G00232RJ
G00232UX	glycosmos	G00232UX
G00233JP	glycosmos	G00233JP
G00234GG	glycosmos	G00234GG
G00234MX	glycosmos	G00234MX
G00234OH	glycosmos	G00234OH
G00235HI	glycosmos	G00235HI
G00235SZ	glycosmos	G00235SZ
G00235XI	glycosmos	G00235XI
G00236EC	glycosmos	G00236EC
G00236ZC	glycosmos	G00236ZC
G00237ID	glycosmos	G00237ID
G00237RR	glycosmos	G00237RR
G00237TF	glycosmos	G00237TF
G00238CG	glycosmos	G00238CG
G00238CK	glycosmos	G00238CK
G00238FA	glycosmos	G00238FA
G00238YD	glycosmos	G00238YD
G00239ON	glycosmos	G00239ON
G00240EZ	glycosmos	G00240EZ
G00241FG	glycosmos	G00241FG
G00241VQ	glycosmos	G00241VQ
G00243HE	glycosmos	G00243HE
G00243IM	glycosmos	G00243IM
G00243NA	glycosmos	G00243NA
G00243SE	glycosmos	G00243SE
G00243XW	glycosmos	G00243XW
G00244ZV	glycosmos	G00244ZV
G00245AV	glycosmos	G00245AV
G00245IP	glycosmos	G00245IP
G00246EP	glycosmos	G00246EP
G00247IQ	glycosmos	G00247IQ
G00247JU	glycosmos	G00247JU
G00247JV	glycosmos	G00247JV
G00247LX	glycosmos	G00247LX
G00247PL	glycosmos	G00247PL
G00248AF	glycosmos	G00248AF
G00248DH	glycosmos	G00248DH
G00248QD	glycosmos	G00248QD
G00249FC	glycosmos	G00249FC
G00249IY	glycosmos	G00249IY
G00249NQ	glycosmos	G00249NQ
G00249OV	glycosmos	G00249OV
G00249XF	glycosmos	G00249XF
G00249XR	glycosmos	G00249XR
G00250DZ	glycosmos	G00250DZ
G00250WW	glycosmos	G00250WW
G00251CZ	glycosmos	G00251CZ
G00252UK	glycosmos	G00252UK
G00253CJ	glycosmos	G00253CJ
G00253FU	glycosmos	G00253FU
G00253JL	glycosmos	G00253JL
G00253WM	glycosmos	G00253WM
G00254DD	glycosmos	G00254DD
G00254JB	glycosmos	G00254JB
G00254PY	glycosmos	G00254PY
G00254WT	glycosmos	G00254WT
G00255RE	glycosmos	G00255RE
G00255TU	glycosmos	G00255TU
G00255WL	glycosmos	G00255WL
G00255YA	glycosmos	G00255YA
G00256CA	glycosmos	G00256CA
G00256TW	glycosmos	G00256TW
G00257HR	glycosmos	G00257HR
G00257KI	glycosmos	G00257KI
G00257QF	glycosmos	G00257QF
G00257RE	glycosmos	G00257RE
G00257UL	glycosmos	G00257UL
G00257UQ	glycosmos	G00257UQ
G00258QK	glycosmos	G00258QK
G00260CD	glycosmos	G00260CD
G00260HX	glycosmos	G00260HX
G00260IY	glycosmos	G00260IY
G00260RF	glycosmos	G00260RF
G00260UH	glycosmos	G00260UH
G00264FA	glycosmos	G00264FA
G00264HB	glycosmos	G00264HB
G00264HI	glycosmos	G00264HI
G00265ET	glycosmos	G00265ET
G00265TT	glycosmos	G00265TT
G00265XO	glycosmos	G00265XO
G00266DF	glycosmos	G00266DF
G00266TA	glycosmos	G00266TA
G00266ZV	glycosmos	G00266ZV
G00267SC	glycosmos	G00267SC
G00268HR	glycosmos	G00268HR
G00269TQ	glycosmos	G00269TQ
G00270EV	glycosmos	G00270EV
G00270GQ	glycosmos	G00270GQ
G00271AE	glycosmos	G00271AE
G00271LF	glycosmos	G00271LF
G00272KT	glycosmos	G00272KT
G00272PZ	glycosmos	G00272PZ
G00272VU	glycosmos	G00272VU
G00273SJ	glycosmos	G00273SJ
G00274MK	glycosmos	G00274MK
G00274WK	glycosmos	G00274WK
G00274YB	glycosmos	G00274YB
G00275MX	glycosmos	G00275MX
G00276FP	glycosmos	G00276FP
G00276RB	glycosmos	G00276RB
G00277BK	glycosmos	G00277BK
G00277MO	glycosmos	G00277MO
G00277SO	glycosmos	G00277SO
G00277XZ	glycosmos	G00277XZ
G00278JY	glycosmos	G00278JY
G00278KV	glycosmos	G00278KV
G00278UB	glycosmos	G00278UB
G00278WU	glycosmos	G00278WU
G00278WV	glycosmos	G00278WV
