GlyTouCanAccession	Image-Size	Image-Notation	Image-Style	Image-Format
G00420CS	26061	snfg	extended	svg
G00420UH	1361	snfg	extended	png
G00420UH	5492	snfg	extended	svg
G00422AZ	2709	snfg	extended	png
G00422AZ	12610	snfg	extended	svg
G00423RQ	1680	snfg	extended	png
G00423RQ	9595	snfg	extended	svg
G00423TL	1478	snfg	extended	png
G00423TL	6316	snfg	extended	svg
G00428HK	3221	snfg	extended	png
G00428HK	13964	snfg	extended	svg
G00430ZK	3445	snfg	extended	png
G00430ZK	15985	snfg	extended	svg
G00432WV	5072	snfg	extended	png
G00432WV	21025	snfg	extended	svg
G00433KW	2930	snfg	extended	png
G00433KW	16109	snfg	extended	svg
G00433UK	1997	snfg	extended	png
G00433UK	8184	snfg	extended	svg
G00435KL	2935	snfg	extended	png
G00435KL	14340	snfg	extended	svg
G00435KX	1819	snfg	extended	png
G00435KX	7598	snfg	extended	svg
G00438EF	5529	snfg	extended	png
G00438EF	26390	snfg	extended	svg
G00442PP	1514	snfg	extended	png
G00442PP	6014	snfg	extended	svg
G00449DS	1976	snfg	extended	png
G00449DS	7796	snfg	extended	svg
G00450EO	4124	snfg	extended	png
G00450EO	19179	snfg	extended	svg
G00451UT	7798	snfg	extended	png
G00451UT	31458	snfg	extended	svg
G00454PR	1286	snfg	extended	png
G00454PR	4306	snfg	extended	svg
G00455NP	2041	snfg	extended	png
G00455NP	7588	snfg	extended	svg
G00457KD	1721	snfg	extended	png
G00457KD	5896	snfg	extended	svg
G00458CW	1922	snfg	extended	png
G00458CW	7559	snfg	extended	svg
G00459BD	2402	snfg	extended	png
G00459BD	9572	snfg	extended	svg
G00459HM	1947	snfg	extended	png
G00459HM	9311	snfg	extended	svg
G00461RR	2385	snfg	extended	png
G00461RR	10088	snfg	extended	svg
G00461ZN	1225	snfg	extended	png
G00461ZN	6010	snfg	extended	svg
G00463XD	4293	snfg	extended	png
G00463XD	19221	snfg	extended	svg
G00466XG	3771	snfg	extended	png
G00466XG	16200	snfg	extended	svg
G00467QU	2768	snfg	extended	png
G00467QU	10587	snfg	extended	svg
G00468KU	3257	snfg	extended	png
G00468KU	14283	snfg	extended	svg
G00468NI	2292	snfg	extended	png
G00468NI	9257	snfg	extended	svg
G00469BS	2342	snfg	extended	png
G00469BS	12531	snfg	extended	svg
G00470UO	4504	snfg	extended	png
G00470UO	19257	snfg	extended	svg
G00471UP	5098	snfg	extended	png
G00471UP	21089	snfg	extended	svg
G00480IB	4187	snfg	extended	png
G00480IB	17576	snfg	extended	svg
G00480KJ	4108	snfg	extended	png
G00480KJ	19558	snfg	extended	svg
G00480NH	5039	snfg	extended	png
G00480NH	20963	snfg	extended	svg
G00482HJ	1636	snfg	extended	png
G00482HJ	7266	snfg	extended	svg
G00483IX	1519	snfg	extended	png
G00483IX	7713	snfg	extended	svg
G00484DO	3837	snfg	extended	png
G00484DO	19594	snfg	extended	svg
G00484WE	1398	snfg	extended	png
G00484WE	5905	snfg	extended	svg
G00484ZC	1443	snfg	extended	png
G00484ZC	5512	snfg	extended	svg
G00487XO	4136	snfg	extended	png
G00487XO	21381	snfg	extended	svg
G00488OU	5172	snfg	extended	png
G00488OU	22858	snfg	extended	svg
G00490MQ	1411	snfg	extended	png
G00490MQ	5508	snfg	extended	svg
G00490QA	1485	snfg	extended	png
G00490QA	3923	snfg	extended	svg
G00491BE	4456	snfg	extended	png
G00491BE	19555	snfg	extended	svg
G00492CQ	2706	snfg	extended	png
G00492CQ	12611	snfg	extended	svg
G00492PO	1472	snfg	extended	png
G00492PO	5686	snfg	extended	svg
G00496OX	3542	snfg	extended	png
G00496OX	14194	snfg	extended	svg
G00498NO	2391	snfg	extended	png
G00498NO	10990	snfg	extended	svg
G00500HT	5119	snfg	extended	png
G00500HT	22734	snfg	extended	svg
G00503EE	5003	snfg	extended	png
G00503EE	21007	snfg	extended	svg
G00504PK	4925	snfg	extended	png
G00504PK	19561	snfg	extended	svg
G00504PZ	3436	snfg	extended	png
G00504PZ	15615	snfg	extended	svg
G00506NQ	2552	snfg	extended	png
G00506NQ	14196	snfg	extended	svg
G00510MX	2086	snfg	extended	png
G00510MX	11123	snfg	extended	svg
G00511LE	3439	snfg	extended	png
G00511LE	15948	snfg	extended	svg
G00514XC	7427	snfg	extended	png
G00514XC	34685	snfg	extended	svg
G00519UD	4090	snfg	extended	png
G00519UD	19558	snfg	extended	svg
G00520NI	4517	snfg	extended	png
G00520NI	21006	snfg	extended	svg
G00523PT	1716	snfg	extended	png
G00523PT	8807	snfg	extended	svg
G00523YW	6702	snfg	extended	png
G00523YW	29667	snfg	extended	svg
G00524NO	3847	snfg	extended	png
G00524NO	19265	snfg	extended	svg
G00527ZE	1663	snfg	extended	png
G00527ZE	7573	snfg	extended	svg
G00531DC	2058	snfg	extended	png
G00531DC	11010	snfg	extended	svg
G00531ZU	4689	snfg	extended	png
G00531ZU	21009	snfg	extended	svg
G00536FZ	4988	snfg	extended	png
G00536FZ	21008	snfg	extended	svg
G00542QA	2654	snfg	extended	png
G00542QA	10880	snfg	extended	svg
G00544JF	3099	snfg	extended	png
G00544JF	15970	snfg	extended	svg
G00545NQ	4270	snfg	extended	png
G00545NQ	19512	snfg	extended	svg
G00547ZN	1501	snfg	extended	png
G00547ZN	6323	snfg	extended	svg
G00550RP	5872	snfg	extended	png
G00550RP	28126	snfg	extended	svg
G00551JZ	4524	snfg	extended	png
G00551JZ	21032	snfg	extended	svg
G00552RX	3137	snfg	extended	png
G00552RX	14333	snfg	extended	svg
G00553AN	4428	snfg	extended	png
G00553AN	19899	snfg	extended	svg
G00557UC	1400	snfg	extended	png
G00557UC	4732	snfg	extended	svg
G00558IW	1769	snfg	extended	png
G00558IW	7581	snfg	extended	svg
G00560KG	3836	snfg	extended	png
G00560KG	17295	snfg	extended	svg
G00565QJ	3075	snfg	extended	png
G00565QJ	12580	snfg	extended	svg
G00568LN	975	snfg	extended	png
G00568LN	7457	snfg	extended	svg
G00569WM	1564	snfg	extended	png
G00569WM	10871	snfg	extended	svg
G00572SI	2868	snfg	extended	png
G00572SI	14327	snfg	extended	svg
G00577YU	1551	snfg	extended	png
G00577YU	4392	snfg	extended	svg
G00580CJ	2065	snfg	extended	png
G00580CJ	8316	snfg	extended	svg
