GlyTouCan AC	Tissue	Species	AnnotationCategory	Source	Source ID
G37622UP	UBERON:0002108	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002419	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0001977	Human	Subsumption	GNOme	G60956VN
G37622UP	UBERON:0002107	Human	Subsumption	GNOme	G74259JB
G37622UP	UBERON:0001969	Human	Subsumption	GNOme	G86821NY
G37622UP	UBERON:0000473	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0000948	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0000955	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0001155	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002106	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002107	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002108	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002113	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002370	Mouse	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002048	Mouse	Subsumption	GNOme	G91302LT
G37622UP	UBERON:0000955	ZebraFish	Subsumption	GNOme	G04223XQ
G37622UP	UBERON:0000160	ZebraFish	Subsumption	GNOme	G60956VN
G37622UP	UBERON:0000473	ZebraFish	Subsumption	GNOme	G60956VN
G37622UP	UBERON:0000948	ZebraFish	Subsumption	GNOme	G60956VN
G37622UP	UBERON:0000955	ZebraFish	Subsumption	GNOme	G60956VN
G37622UP	UBERON:0002107	ZebraFish	Subsumption	GNOme	G60956VN
G37622UP	UBERON:0002419	ZebraFish	Subsumption	GNOme	G60956VN
G37622UP	UBERON:0002535	ZebraFish	Subsumption	GNOme	G60956VN
G37626QS	UBERON:0000178	Human	Subsumption	GNOme	G51696TL
G37626QS	UBERON:0000029	Human	Subsumption	GNOme	G94737YG
G37626QS	UBERON:0000948	Human	Subsumption	GNOme	G94737YG
