GlyTouCanAccession	KEGGAccession
G58846EV	G05822
G58746AB	G02264
G58990QD	G00058
G59471TH	G00019
G59406KS	G00006
G59149SL	G04054
G59345UT	G03665
G59168YE	G00825
G59159PE	G02847
G59471JC	G11876
G59508TM	G10288
G59141EN	G12006
G59128IS	G03947
G59255VT	G11937
G59716UA	G05500
G59513YA	G00341
G59742GY	G10972
G59872UP	G02887
G59869XG	G05493
G59659CN	G01892
G59761EF	G05329
G59655FF	G04826
G59655SA	G10715
G60274JN	G03865
G60330MA	G04583
G59999BN	G06473
G60109PL	G04275
G60230HH	G00011
G60413OP	G03804
G60692DB	G05729
G60799ZL	G04906
G60532CM	G04582
G60949GI	G01919
G60890ZT	G00221
G60645OK	G00051
G60430KO	G02894
G60829NM	G12924
G60833BB	G04550
G60653VD	G00947
G60496TU	G03669
G61351MP	G00467
G61456PF	G02697
G61086WG	G04193
G61420QM	G00515
G61334IA	G10773
G61459JW	G10635
G61399JM	G04069
G60956VN	G00452
G61222QQ	G01807
G61399NC	G00683
G61283FH	G05889
G61153TX	G04250
G61055FR	G01491
G61386ZX	G00541
G61169KO	G03854
G61457CY	G01320
G61207RZ	G10774
G61751GZ	G00014
G61751GZ	G12155
G61575RT	G05921
G61730RY	G00032
G61730RY	G12379
G61846BY	G10673
G61601ZZ	G11999
G61664CH	G01987
G61717JN	G00365
G61705AR	G03677
G62145FH	G03673
G61903HE	G11974
G62097SF	G01469
G62380XZ	G01854
G61956VN	G11928
G62112AO	G01824
G62196IB	G06332
G61941WO	G05332
G62464EH	G05697
G62015ZM	G06133
G62732AB	G02043
G62741IO	G05317
G62801YJ	G00982
G62519IY	G04351
G62746IY	G03713
G62554JH	G01188
G62517DC	G02798
G62797OV	G04055
G62765SF	G10963
G62619LG	G10976
G62571UK	G02886
G62808KR	G04935
G62763GO	G00356
G62779OI	G04654
G63238VS	G00039
G63166WT	G10840
G62973JK	G02187
G63160NR	G00538
G63179CS	G06066
G63035DM	G00421
G63024BG	G00522
G62968IF	G00368
G62979KP	G01099
G63617UP	G04376
G63337SS	G10816
G63480NF	G00660
G63665MU	G03029
G63505TP	G01663
G63496FG	G04749
G63389VQ	G00413
G63717SU	G03178
G63413QV	G01269
G64334QQ	G04782
G64183CB	G00167
G64311TT	G00994
G63889NK	G11024
G64259ZR	G00911
G63992GH	G02897
G63838JW	G04454
G63821SF	G03876
G63919RG	G05700
G63981YU	G04630
G64165TJ	G05513
G63813EJ	G10434
G64604UL	G07612
G64713KE	G05175
G64538ZR	G04499
G64581RP	G12437
G64485VT	G05230
G64662SH	G03897
G64418SR	G02226
G64468KS	G04711
G64501OO	G11975
G64799PD	G00441
G64481DJ	G10883
G64669AQ	G00178
G65243FP	G04023
G64885AH	G00057
G65191ST	G00269
G64894MA	G00715
G65226QM	G04435
G65236OQ	G12434
G64973KT	G11136
G64973KT	G12693
G64968QT	G05166
G64860JV	G02787
G64919UI	G04610
G64857LW	G06340
G65223RT	G00076
G65484DP	G00679
G65697SK	G04313
G65703ID	G01345
G65419YA	G11866
G65515HD	G04304
G65294YU	G02208
G65562ZE	G00026
G65562ZE	G12347
G65996GC	G00003
G65996GC	G12381
G65825CX	G05494
G66162WI	G05618
G65890UA	G10844
G65982DP	G04137
