GlyTouCanAccession	PDB
G19958IL	3gwj
G20044TD	1ww5
G20044TD	3ap6
G20212GT	3hn3
G21290RB	1b0f
G21290RB	1b41
G21290RB	1cdr
G21290RB	1elv
G21290RB	1f6a
G21290RB	1g7p
G21290RB	1g7q
G21290RB	1g82
G21290RB	1gh7
G21290RB	1igr
G21290RB	1j87
G21290RB	1kbg
G21290RB	1kpu
G21290RB	1kpv
G21290RB	1leg
G21290RB	1lek
G21290RB	1ltj
G21290RB	1mox
G21290RB	1onq
G21290RB	1op0
G21290RB	1p0i
G21290RB	1p0m
G21290RB	1p0p
G21290RB	1p0q
G21290RB	1rf1
G21290RB	1tcr
G21290RB	1tk3
G21290RB	1u8e
G21290RB	1xz0
G21290RB	1y4j
G21290RB	1ykb
G21290RB	2a0z
G21290RB	2erj
G21290RB	2ffd
G21290RB	2hr7
G21290RB	2j4c
G21290RB	2nyk
G21290RB	2oyh
G21290RB	2oyi
G21290RB	2q7n
G21290RB	2rg3
G21290RB	2wil
G21290RB	2wsl
G21290RB	2xmd
G21290RB	2xqk
G21290RB	2y1k
G21290RB	3bkk
G21290RB	3bkl
G21290RB	3bpl
G21290RB	3bvh
G21290RB	3ciy
G21290RB	3e0g
G21290RB	3h53
G21290RB	3h54
G21290RB	3h55
G21290RB	3hg4
G21290RB	3hus
G21290RB	3igu
G21290RB	3k7n
G21290RB	3kas
G21290RB	3l3n
G21290RB	3o8x
G21290RB	3o9w
G21290RB	3otk
