GlyTouCanAccession	NativeFormula	PermethylatedFormula
G00745GK	C30H49N3O20	C42H73N3O20
G00745RY	C82H135N5O58	C116H203N5O58
G00745XU	C96H158N6O69	C137H240N6O69
G00747KK	C16H26N2O10	C22H38N2O10
G00747UC	C90H148N6O65	C129H226N6O65
G00748RT	C123H199N9O88	C176H305N9O88
G00754TS	C40H66N2O31S	C55H96N2O31S
G00757LJ	C114H185N9O83	C165H287N9O83
G00758FQ	C18H30O14	C26H46O14
G00760ZJ	C18H30O15	C27H48O15
G00761MZ	C46H76N2O34	C66H116N2O34
G00761OX	C24H40O20	C36H64O20
G00761PI	C98H159N7O74S	C140H243N7O74S
G00761TV	C32H53NO25	C47H83NO25
G00763JM	C72H118N6O49	C101H176N6O49
G00767OE	C86H142N4O63	C123H216N4O63
G00769YD	C30H51N3O20	C43H77N3O20
G00771KB	C28H46N2O20	C40H70N2O20
G00774OZ	C51H83N3O38	C74H129N3O38
G00774WE	C56H92N4O40	C80H140N4O40
G00776MW	C145H233N11O105	C209H361N11O105
G00776WM	C26H43NO20	C38H67NO20
G00780PN	C89H145N7O62	C126H219N7O62
G00783BQ	C22H36N2O15	C31H54N2O15
G00783PW	C78H128N6O54	C110H192N6O54
G00784PW	C50H82N4O35	C71H124N4O35
G00785BQ	C26H38N2O30S3	C36H58N2O30S3
G00786XQ	C48H79N3O35	C69H121N3O35
G00787AF	C48H77N3O36	C70H121N3O36
G00787XJ	C40H66N2O30	C58H102N2O30
G00788HS	C85H139N5O62	C122H213N5O62
G00789BB	C54H89N3O40	C78H137N3O40
G00789VI	C54H89N3O38	C76H133N3O38
G00794UV	C48H77N3O37	C71H123N3O37
G00797ZX	C112H185N5O81	C159H279N5O81
G00798PL	C70H116N2O55	C103H182N2O55
G00800WJ	C104H169N7O75	C149H259N7O75
G00802AJ	C32H53NO25	C47H83NO25
G00802PL	C72H116N6O50	C102H176N6O50
G00803PJ	C36H60O30	C54H96O30
G00803TF	C51H83N3O36	C72H125N3O36
G00805TZ	C122H201N7O86	C172H301N7O86
G00805ZW	C24H41O23P	C37H67O23P
G00810PC	C82H135N5O59	C117H205N5O59
G00810WO	C14H23NO10	C20H35NO10
G00814BW	C115H186N8O83	C165H286N8O83
G00814DL	C32H53NO24	C46H81NO24
G00817BI	C92H151N7O65	C131H229N7O65
G00821AQ	C12H20O10	C18H32O10
G00821JS	C104H169N7O75	C149H259N7O75
G00822CX	C67H109N5O48	C96H167N5O48
G00824LK	C54H87N3O43	C81H141N3O43
G00824VR	C24H36N2O32S4	C34H56N2O32S4
G00825HN	C105H172N6O75	C149H260N6O75
G00826QI	C25H41N2O21P	C37H65N2O21P
G00826SV	C76H125N5O54	C108H189N5O54
G00828CZ	C146H236N10O105	C209H362N10O105
G00828QE	C79H129N5O57	C113H197N5O57
G00829OB	C46H76N2O35	C67H118N2O35
G00830CM	C81H132N6O58	C116H202N6O58
G00835TJ	C73H119N5O52	C104H181N5O52
G00839XF	C46H76N2O33	C65H114N2O33
G00841YH	C73H117N5O54	C106H183N5O54
G00842OY	C80H132N4O58	C114H200N4O58
G00845KS	C43H70N2O33	C63H110N2O33
G00849VB	C48H80O40	C72H128O40
G00850LT	C40H66N2O30	C58H102N2O30
G00851XQ	C60H99N3O44	C86H151N3O44
G00852XI	C50H84N4O34	C71H126N4O34
G00855BY	C70H116N2O55	C103H182N2O55
G00862ZV	C45H75N3O33	C66H117N3O33
G00864TV	C82H135N5O59	C117H205N5O59
G00866EV	C28H46N2O20	C40H70N2O20
