GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G00897BY	2120	0eaa76d6	cfg	extended
G00899CT	1480	f65d6d45	cfg	extended
G00900AZ	2304	48881f74	cfg	extended
G00901NZ	2417	4fea4268	cfg	extended
G00903RX	865	513e0e9f	cfg	extended
G00909GK	3066	558a3a96	cfg	extended
G00909PI	4848	57bce8a0	cfg	extended
G00910WD	6563	79b02b8d	cfg	extended
G00912UN	1408	f3683f0b	cfg	extended
G00915DI	1819	d1e9f8f4	cfg	extended
G00917AF	1421	cbae05d1	cfg	extended
G00923KH	4184	480db3d7	cfg	extended
G00924FH	1594	62f027c2	cfg	extended
G00925PQ	2238	331140d6	cfg	extended
G00926LC	3004	939d785a	cfg	extended
G00927ER	1622	cc81d128	cfg	extended
G00936LV	1237	d93a999a	cfg	extended
G00936NZ	1261	109eef5e	cfg	extended
G00940RO	2389	791b96ed	cfg	extended
G00944OL	2974	df828a76	cfg	extended
G00945TF	6872	ae09b615	cfg	extended
G00950FJ	2119	779f1843	cfg	extended
G00951UF	3401	c876fca7	cfg	extended
G00955WX	5353	6d65e958	cfg	extended
G00966RI	3886	71818a95	cfg	extended
G00969CV	1937	62f16ffd	cfg	extended
G00970CP	1289	8f4afa4e	cfg	extended
G00972DY	2063	cbb21010	cfg	extended
G00975ZH	1764	a57312f3	cfg	extended
G00977CB	1474	159dc8b6	cfg	extended
G00978GW	3058	19960771	cfg	extended
G00978TF	2246	4885a66d	cfg	extended
G00979XR	2782	3530c99e	cfg	extended
G00982CE	5224	28000bbc	cfg	extended
G00982QD	2292	2df5e27c	cfg	extended
G00983HB	1892	f9e86c63	cfg	extended
G00986YT	2605	8a066822	cfg	extended
G00987AB	1876	02329003	cfg	extended
G00992PS	1391	055bb25e	cfg	extended
G00994CC	2222	b63e237f	cfg	extended
G00995HW	4107	48f6b4f0	cfg	extended
G00996DG	2242	61cf0a31	cfg	extended
G00996YC	1264	83f302ca	cfg	extended
G00997UP	2308	e2e0d643	cfg	extended
G00998NI	2966	3642f21b	cfg	extended
G01001RL	6517	02aa1fa4	cfg	extended
G01010HI	1551	64ce491e	cfg	extended
G01010HW	2381	3fa41f56	cfg	extended
G01028CW	4477	e9c45a5e	cfg	extended
G01028FJ	3434	9de41685	cfg	extended
G01028VL	1519	d7fab9d4	cfg	extended
G01031EZ	3976	8e1f50c6	cfg	extended
G01034MJ	4636	0e46ca56	cfg	extended
G01040ZV	1484	668ad1ba	cfg	extended
G01044ZK	2501	5a94645e	cfg	extended
G01046SL	786	cd11b72d	cfg	extended
G01047YJ	1604	edc1434e	cfg	extended
G01055WR	1463	b8812d9d	cfg	extended
G01069AK	4119	dd65bd00	cfg	extended
G01069CZ	1210	364b05e7	cfg	extended
G01077MO	5350	ab30f224	cfg	extended
G01079BO	2477	2e051723	cfg	extended
