GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G11911BT	253	GlyConnectComposition
G11911BT	253	GlyConnectComposition
G11929SN	555	GlyConnectStructure
G11967GO	1226	GlyConnectStructure
G11994QC	2563	GlyConnectStructure
G12012YB	1065	GlyConnectStructure
G12021KH	1298	GlyConnectStructure
G12035CL	2149	GlyConnectStructure
G12121CY	3621	GlyConnectStructure
G12143FS	1672	GlyConnectStructure
G12222NC	3459	GlyConnectStructure
G12232DG	1300	GlyConnectStructure
G12241WD	1668	GlyConnectStructure
G12274AS	1048	GlyConnectStructure
G12313PD	708	GlyConnectComposition
G12313PD	708	GlyConnectComposition
G12393CD	2698	GlyConnectStructure
G12396GB	1976	GlyConnectStructure
G12398HZ	910	GlyConnectStructure
G12417OE	3235	GlyConnectStructure
G12436UO	856	GlyConnectStructure
G12457EA	1681	GlyConnectStructure
G12464FX	2559	GlyConnectStructure
G12511VU	398	GlyConnectStructure
G12579WK	311	GlyConnectComposition
G12579WK	311	GlyConnectComposition
G12616PJ	1331	GlyConnectStructure
G12678YV	176	GlyConnectStructure
G12679QG	2722	GlyConnectStructure
G12709VH	128	GlyConnectComposition
G12709VH	128	GlyConnectComposition
G12728EY	694	GlyConnectComposition
G12728EY	694	GlyConnectComposition
G12733WO	732	GlyConnectComposition
G12733WO	732	GlyConnectComposition
G12743GW	2901	GlyConnectStructure
G12793SR	155	GlyConnectComposition
G12793SR	155	GlyConnectComposition
G12802HY	2598	GlyConnectStructure
G12814JP	3439	GlyConnectStructure
G12849CJ	364	GlyConnectComposition
G12866IA	1210	GlyConnectStructure
G12900GB	2192	GlyConnectStructure
G12920QL	3312	GlyConnectStructure
G12932QT	1441	GlyConnectStructure
G12953IP	3450	GlyConnectStructure
G12953IP	7165	GlyConnectStructure
G12968JL	858	GlyConnectStructure
G12976MZ	2640	GlyConnectStructure
G13041EF	3090	GlyConnectStructure
G13074YF	2602	GlyConnectStructure
G13122AV	2466	GlyConnectStructure
G13144BT	2999	GlyConnectStructure
G13144BT	3711	GlyConnectStructure
G13151XE	217	GlyConnectStructure
G13156PQ	823	GlyConnectStructure
G13165FV	788	GlyConnectStructure
G13178HT	1769	GlyConnectStructure
G13179DW	3426	GlyConnectStructure
G13181ZZ	2213	GlyConnectStructure
G13197FM	2789	GlyConnectStructure
G13204HV	1490	GlyConnectStructure
G13238MZ	269	GlyConnectComposition
G13238MZ	269	GlyConnectComposition
G13260JU	1102	GlyConnectStructure
G13269KZ	3440	GlyConnectStructure
G13282WA	2549	GlyConnectStructure
G13290KJ	2567	GlyConnectStructure
G13292XY	2515	GlyConnectStructure
G13335AQ	2839	GlyConnectStructure
G13366MT	3295	GlyConnectStructure
G13441ZL	55	GlyConnectComposition
G13441ZL	55	GlyConnectComposition
G13454LA	2869	GlyConnectStructure
G13659RH	2107	GlyConnectStructure
G13661VV	175	GlyConnectComposition
G13661VV	175	GlyConnectComposition
G13694XX	59	GlyConnectComposition
G13694XX	59	GlyConnectComposition
G13695SV	285	GlyConnectStructure
G13728QT	231	GlyConnectComposition
G13728QT	231	GlyConnectComposition
G13785QH	15	GlyConnectStructure
G13800FQ	3443	GlyConnectStructure
G13824WQ	2615	GlyConnectStructure
G13863XN	3481	GlyConnectStructure
G13897ZB	50	GlyConnectStructure
