GlyTouCanAccession	GlycoShapeAccession
G44953KX	G44953KX
G45003JO	G45003JO
G45058HZ	G45058HZ
G45086UC	G45086UC
G45114GN	G45114GN
G45209NR	G45209NR
G45344EA	G45344EA
G45434YK	G45434YK
G45484YR	G45484YR
G45526DW	G45526DW
G45553WK	G45553WK
G45560HM	G45560HM
G45596OR	G45596OR
G45598BE	G45598BE
G45712YX	G45712YX
G45714BQ	G45714BQ
G45715QI	G45715QI
G45718WR	G45718WR
G45792OQ	G45792OQ
G45796AX	G45796AX
G45889JQ	G45889JQ
G46026IB	G46026IB
G46055MA	G46055MA
G46171QF	G46171QF
G46227HN	G46227HN
G46241AF	G46241AF
G46340EI	G46340EI
G46385MK	G46385MK
G46677TE	G46677TE
G46776WR	G46776WR
G46816YG	G46816YG
G46836GH	G46836GH
G46854VN	G46854VN
G46986BM	G46986BM
G47058RI	G47058RI
G47076UN	G47076UN
G47166ZR	G47166ZR
G47195EY	G47195EY
G47212KG	G47212KG
G47300FW	G47300FW
G47333HV	G47333HV
G47362BJ	G47362BJ
G47548GA	G47548GA
G47763TG	G47763TG
G47772RH	G47772RH
G47816DI	G47816DI
G47829CW	G47829CW
G47863IJ	G47863IJ
G47920WV	G47920WV
G47976ZQ	G47976ZQ
G48040YP	G48040YP
G48115DD	G48115DD
G48148JS	G48148JS
G48273MK	G48273MK
G48369JO	G48369JO
G48488XT	G48488XT
G48558GR	G48558GR
G48683SA	G48683SA
G48730FR	G48730FR
G48791KW	G48791KW
G48898TH	G48898TH
G49035YR	G49035YR
G49108TO	G49108TO
G49228QV	G49228QV
G49277CJ	G49277CJ
G49418IP	G49418IP
G49503QY	G49503QY
G49524AZ	G49524AZ
G49613CY	G49613CY
G49708ZB	G49708ZB
G49721KD	G49721KD
G49776YI	G49776YI
G49936GP	G49936GP
G50008TR	G50008TR
G50078RT	G50078RT
G50198YU	G50198YU
G50255MS	G50255MS
G50281RU	G50281RU
G50297NI	G50297NI
G50463MY	G50463MY
G50538IF	G50538IF
G50584UT	G50584UT
G50638US	G50638US
G50645ZL	G50645ZL
G50850NI	G50850NI
G50882AV	G50882AV
G51004EY	G51004EY
G51007QO	G51007QO
G51033FK	G51033FK
G51041MW	G51041MW
G51050LD	G51050LD
G51077XN	G51077XN
G51131QL	G51131QL
G51162XR	G51162XR
G51256JC	G51256JC
G51275BQ	G51275BQ
G51419BH	G51419BH
G51465VH	G51465VH
G51508GQ	G51508GQ
G51535NO	G51535NO
G51537NW	G51537NW
G51591NI	G51591NI
G51657FI	G51657FI
G51699IR	G51699IR
G51722JR	G51722JR
G51793MY	G51793MY
G51828AY	G51828AY
G51904VW	G51904VW
G51911JA	G51911JA
G52021KR	G52021KR
G52035PY	G52035PY
G52060KC	G52060KC
G52071EY	G52071EY
G52150TA	G52150TA
G52179QP	G52179QP
G52293LN	G52293LN
G52333FC	G52333FC
G52336LJ	G52336LJ
G52348KP	G52348KP
G52358FD	G52358FD
G52457TQ	G52457TQ
G52593LK	G52593LK
G52605PN	G52605PN
G52649ZM	G52649ZM
G52706OU	G52706OU
G52880ZN	G52880ZN
G52966FX	G52966FX
G53140PB	G53140PB
G53219PO	G53219PO
G53277CD	G53277CD
G53401FX	G53401FX
G53402KW	G53402KW
G53720CB	G53720CB
G53723XK	G53723XK
G53752TA	G53752TA
G53800FZ	G53800FZ
G53819TZ	G53819TZ
G53889SN	G53889SN
G53894HD	G53894HD
G53950VW	G53950VW
G54020TT	G54020TT
G54089ZD	G54089ZD
G54118CT	G54118CT
G54186II	G54186II
G54258NG	G54258NG
G54434YJ	G54434YJ
G54440EA	G54440EA
G54511RE	G54511RE
G54524YB	G54524YB
G54574KG	G54574KG
G54579OO	G54579OO
G54650UF	G54650UF
G54679PS	G54679PS
G54706BB	G54706BB
G54733XO	G54733XO
G54762HW	G54762HW
G54826OZ	G54826OZ
G54961LR	G54961LR
G54976AD	G54976AD
G55005SM	G55005SM
G55015QS	G55015QS
G55020XV	G55020XV
G55036RV	G55036RV
G55067DH	G55067DH
G55144QZ	G55144QZ
G55182ZL	G55182ZL
G55220VL	G55220VL
G55302QK	G55302QK
G55452NM	G55452NM
G55453II	G55453II
G55505PJ	G55505PJ
G55525GN	G55525GN
G55728EM	G55728EM
G55786MG	G55786MG
G55818EE	G55818EE
G55954SF	G55954SF
G55963XZ	G55963XZ
G56014GC	G56014GC
G56052QV	G56052QV
G56098KF	G56098KF
G56154DE	G56154DE
G56186MJ	G56186MJ
G56318NV	G56318NV
G56498UL	G56498UL
G56546LQ	G56546LQ
G56586OT	G56586OT
G56655CC	G56655CC
G56657CK	G56657CK
G56682BC	G56682BC
G56708PR	G56708PR
G56737MI	G56737MI
G56749GV	G56749GV
G56803IJ	G56803IJ
G56845GO	G56845GO
G56868BH	G56868BH
G56973FQ	G56973FQ
G57039PS	G57039PS
G57112FM	G57112FM
G57144YM	G57144YM
G57277JN	G57277JN
G57284NN	G57284NN
G57321FI	G57321FI
G57484FV	G57484FV
G57548NB	G57548NB
G57666OY	G57666OY
G57710SU	G57710SU
G57891XD	G57891XD
G57920AK	G57920AK
G57923KF	G57923KF
G57930PW	G57930PW
G57931QL	G57931QL
G57941GW	G57941GW
G57955DP	G57955DP
G58066AL	G58066AL
G58147NQ	G58147NQ
G58161NS	G58161NS
G58213EE	G58213EE
G58214IQ	G58214IQ
G58404RD	G58404RD
G58409WK	G58409WK
G58413WQ	G58413WQ
G58436AI	G58436AI
G58575YW	G58575YW
G58611PK	G58611PK
G58667NI	G58667NI
G58676UF	G58676UF
G58811EL	G58811EL
G58896AZ	G58896AZ
G58906EB	G58906EB
G58937DH	G58937DH
G58990PX	G58990PX
G59023DJ	G59023DJ
G59087DO	G59087DO
G59121IT	G59121IT
G59126YU	G59126YU
G59155GF	G59155GF
G59218ZX	G59218ZX
G59311AO	G59311AO
G59315XJ	G59315XJ
G59406KS	G59406KS
G59471TH	G59471TH
G59594LT	G59594LT
G59622YU	G59622YU
G59670YR	G59670YR
G59741XZ	G59741XZ
G59782MA	G59782MA
G59824VV	G59824VV
G59825KE	G59825KE
G59836EN	G59836EN
G59968MZ	G59968MZ
G60125IW	G60125IW
G60190AL	G60190AL
G60215XR	G60215XR
G60230HH	G60230HH
G60233WN	G60233WN
G60275BG	G60275BG
G60415BS	G60415BS
G60430KO	G60430KO
G60474DY	G60474DY
G60477QO	G60477QO
G60501QA	G60501QA
G60583LN	G60583LN
G60605ZN	G60605ZN
G60629OV	G60629OV
G60645OK	G60645OK
G60665ER	G60665ER
G60667OL	G60667OL
G60683RM	G60683RM
G60687DB	G60687DB
G60736DD	G60736DD
G60848KN	G60848KN
G60890ZT	G60890ZT
G61305ZB	G61305ZB
G61395QJ	G61395QJ
G61399NC	G61399NC
G61418DU	G61418DU
G61435KZ	G61435KZ
G61459JW	G61459JW
G61491DK	G61491DK
G61649EG	G61649EG
G61706MD	G61706MD
G61730RY	G61730RY
G61751GZ	G61751GZ
G61752HI	G61752HI
G61773FW	G61773FW
G61788PW	G61788PW
G61846BY	G61846BY
G61866NY	G61866NY
G61874BV	G61874BV
G62081IR	G62081IR
G62117RR	G62117RR
G62180QZ	G62180QZ
G62204FH	G62204FH
G62223XV	G62223XV
G62387ZO	G62387ZO
G62421SJ	G62421SJ
G62433MP	G62433MP
G62566JR	G62566JR
G62623TF	G62623TF
G62776EK	G62776EK
G62776HF	G62776HF
G62826CL	G62826CL
G62900AI	G62900AI
G62941VF	G62941VF
G62954WM	G62954WM
G63019NZ	G63019NZ
G63030AW	G63030AW
G63038RA	G63038RA
