GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G79928VL	Rat	Subsumption	GNOme	G28052FT	
G79939YZ	Human	Direct	UniCarbKB	7501	9606
G79939YZ	Mouse	Subsumption	GNOme	G58848QS	
G79939YZ	Mouse	Subsumption	GNOme	G75977KH	
G79941IJ	Human	Subsumption	GNOme	G20732FY	
G79941IJ	Human	Subsumption	GNOme	G44369QM	
G79941IJ	Mouse	Subsumption	GNOme	G19099PA	
G79941IJ	Rat	Direct	UniCarbKB	comp_HexNAc6Hex4dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	10116
G79954CG	Human	Direct	GlyTouCan	G79954CG	9606
G79954CG	Mouse	Subsumption	GNOme	G29857RC	
G79954CG	Rat	Subsumption	GNOme	G24604HV	
G79954CG	Rat	Subsumption	GNOme	G29857RC	
G79958YT	Rat	Direct	GlyTouCan	G79958YT	10114
G79958YT	Rat	Direct	GlyTouCan	G79958YT	10116
G79961MR	Human	Subsumption	GNOme	G24413UY	
G79961MR	Human	Subsumption	GNOme	G43984TE	
G79961MR	Human	Subsumption	GNOme	G46422KL	
G79961MR	Human	Subsumption	GNOme	G48185FI	
G79961MR	Human	Subsumption	GNOme	G53985AY	
G79961MR	Human	Subsumption	GNOme	G68059HB	
G79961MR	Human	Subsumption	GNOme	G81915YU	
G79961MR	Human	Subsumption	GNOme	G97028UT	
G79961MR	Mouse	Subsumption	GNOme	G46422KL	
G79961MR	Mouse	Subsumption	GNOme	G50487BS	
G79961MR	Mouse	Subsumption	GNOme	G81915YU	
G79961MR	Rat	Subsumption	GNOme	G43984TE	
G79973CM	Human	Direct	GlyTouCan	G79973CM	9606
G79976GJ	Human	Direct	GlyTouCan	G79976GJ	9606
G79980BA	Mouse	Subsumption	GNOme	G15569GG	
G79980BA	Mouse	Subsumption	GNOme	G36324QX	
G79980BA	Mouse	Subsumption	GNOme	G40608DF	
G79980BA	Mouse	Subsumption	GNOme	G46470AD	
G79980BA	Mouse	Subsumption	GNOme	G90825UM	
G79980BA	Rat	Subsumption	GNOme	G15569GG	
G79982IL	Human	Direct	GlyConnect	3043	9606
