label	nonspec	spec	total	percent	fisherscore	
H3N3F	Y[pHN2F]	1	0	1	100.0	-6.41	
H7N4S	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH2N3F]	1	0	1	100.0	-6.41	
H7N4S	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N5FS2	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5FS	Y[pH4N5]	1	0	1	100.0	-6.41	
H9N9F	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N4	Y[pH5N4]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH6N5]	1	0	1	100.0	-6.41	
H5N5F2	Y[pN2]	1	0	1	100.0	-6.41	
H7N6F4S	Y[pH5N4]	1	0	1	100.0	-6.41	
H4N3F	Y[pH4N3F]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH2N2]	1	0	1	100.0	-6.41	
H5N5S	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N5FS	Y[pH4N4]	1	0	1	100.0	-6.41	
H3N5	Y[pHN2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pHN2F2]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH4N4F]	1	0	1	100.0	-6.41	
H4N4F2	Y[pN2]	1	0	1	100.0	-6.41	
H4N5F	Y[pH3N2F]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH3N4F2]	1	0	1	100.0	-6.41	
H3N6F	Y[pH3N2F]	1	0	1	100.0	-6.41	
H5N5FS2	Y[pH4N4]	1	0	1	100.0	-6.41	
H6N5FS	Y[pH4N4S]	1	0	1	100.0	-6.41	
H4N6S	Y[pH4N4]	1	0	1	100.0	-6.41	
H4N5F2S	Y[pNF]	1	0	1	100.0	-6.41	
H3N3F	Y[pNF]	1	0	1	100.0	-6.41	
H8N7S	Y[pH5N5]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH4N3]	1	0	1	100.0	-6.41	
H4N5F2S	Y[pN]	1	0	1	100.0	-6.41	
H4N6	Y[pH4N4]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH5N5]	1	0	1	100.0	-6.41	
H7N4S	Y[pH4N3]	1	0	1	100.0	-6.41	
H6N4FS	Y[pH5N4S]	1	0	1	100.0	-6.41	
H3N6	Y[pH3N3]	1	0	1	100.0	-6.41	
H5N4F3S	Y[pH4N3S]	1	0	1	100.0	-6.41	
H3N4F2	Y[pN2F]	1	0	1	100.0	-6.41	
H6N6F	Y[pH5N5]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH4N5]	1	0	1	100.0	-6.41	
H6N4FS	Y[pH4N3S]	1	0	1	100.0	-6.41	
H4N6	Y[pH3N4]	1	0	1	100.0	-6.41	
H3N5F	Y[pH3N5F]	1	0	1	100.0	-6.41	
H7N4S	Y[pN2]	1	0	1	100.0	-6.41	
H4N5FS	Y[p]	1	0	1	100.0	-6.41	
H5N4F3S	Y[pH3N3S]	1	0	1	100.0	-6.41	
H5N4S	Y[pH3N4]	1	0	1	100.0	-6.41	
H4N7	Y[pN]	1	0	1	100.0	-6.41	
H5N5F2	Y[pNF]	1	0	1	100.0	-6.41	
H5N4F3S	Y[p]	1	0	1	100.0	-6.41	
H4N6S	Y[pH3N4]	1	0	1	100.0	-6.41	
H7N6FS4	Y[pH5N5]	1	0	1	100.0	-6.41	
H8N7F	Y[pH4N3F]	1	0	1	100.0	-6.41	
H7N6FS2	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N4F2	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5F2S	Y[pH3N4F2]	1	0	1	100.0	-6.41	
H7N6S4	Y[pH5N5]	1	0	1	100.0	-6.41	
H4N5F2	Y[pH4N4]	1	0	1	100.0	-6.41	
H5N3F	Y[pH5N2]	1	0	1	100.0	-6.41	
H3N5	Y[pH2N2]	1	0	1	100.0	-6.41	
H5N6F	Y[pH5N4]	1	0	1	100.0	-6.41	
H7N4S	Y[pH2N3]	1	0	1	100.0	-6.41	
H5N4F3S	Y[pH3N4]	1	0	1	100.0	-6.41	
H3N6F2	Y[pH3N4F]	1	0	1	100.0	-6.41	
H5N5S	Y[pH4N5]	1	0	1	100.0	-6.41	
H3N7F	Y[pN2]	1	0	1	100.0	-6.41	
H4N5	Y[pH3N2]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pN2]	1	0	1	100.0	-6.41	
H11N2	Y[pH2N2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pH2N2F2]	1	0	1	100.0	-6.41	
H5N5FS2	Y[p]	1	0	1	100.0	-6.41	
H3N6	Y[pN]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH4N4]	1	0	1	100.0	-6.41	
H7N4S	Y[pH2N2]	1	0	1	100.0	-6.41	
H4N5F2	Y[pH4N5]	1	0	1	100.0	-6.41	
H4N6S	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5S2	Y[pN2]	1	0	1	100.0	-6.41	
H4N5F2	Y[pN2]	1	0	1	100.0	-6.41	
H6N7	Y[pH2N2]	1	0	1	100.0	-6.41	
