GlyTouCan	MonosaccharideDB_ID
G03603IS	6
G03605AV	Some monosaccharide(s) has no ID in monosaccharide DB
G03605AV	1
G03605AV	2
G03605AV	3
G03605AV	5
G03605AV	6
G03605AV	7
G03605BS	1
G03605BS	3
G03605BS	5
G03605BS	7
G03605BS	15
G03652TR	Some monosaccharide(s) has no ID in monosaccharide DB
G03652TR	1
G03652TR	3
G03652TR	5
G03681UF	Some monosaccharide(s) has no ID in monosaccharide DB
G03681UF	1
G03681UF	2
G03681UF	3
G03681UF	5
G03681UF	6
G03681UF	7
G03727RK	1
G03727RK	2
G03727RK	3
G03727RK	5
G03727RK	6
G03740OH	Some monosaccharide(s) has no ID in monosaccharide DB
G03740OH	1
G03740OH	2
G03740OH	3
G03740OH	5
G03740OH	7
G03749EO	Some monosaccharide(s) has no ID in monosaccharide DB
G03749EO	1
G03749EO	2
G03749EO	3
G03749EO	5
