SID,REGID,CID
252296517,G66544RE,91862333
252296516,G21288EE,91862332
252296515,G95000BR,91862331
252296514,G18345TR,91862330
252296513,G84042GD,91862329
252296512,G41045HI,91862328
252296511,G48468PF,91862327
252296510,G96023YZ,91862326
252296509,G04434YU,120700
252296508,G37491LV,91862325
252296507,G74084WQ,91862324
252296506,G53740ZC,91862323
252296505,G45333UL,91862322
252296504,G28148UM,10230811
252296503,G78319EW,91862321
252296502,G98869UV,91862320
252296501,G78842DK,91862319
252296500,G76983CM,91862318
252296499,G57991ZX,91862317
252296498,G33522ME,91862316
252296497,G33074ML,91862315
252296496,G84647SC,91862314
252296495,G40014XN,91862313
252296494,G92409PE,91862312
252296493,G95251MI,71298014
252296492,G76622SI,6971007
252296491,G12778KI,91862311
252296490,G48466UB,71297497
252296489,G58138US,91862310
252296488,G52631PX,91862309
252296487,G64979HM,91862308
252296486,G26703BH,91862307
252296485,G29589IQ,91862306
252296484,G68060ZI,91862305
252296483,G42154JB,91862304
252296482,G85353GQ,91862303
252296481,G53308XG,135191
252296480,G94244BK,91862302
252296479,G21117IP,71298514
252296478,G58031SJ,91862301
252296477,G65644CC,91862300
252296476,G05324AQ,91862299
252296475,G35100BQ,91862298
252296474,G36716AR,91862297
252296473,G16827VK,91862296
252296472,G17864MS,91862295
252296471,G30041HW,443615
252296470,G85352NO,86289207
252296469,G46088YW,91862294
252296468,G04777NU,71298078
252296467,G94858UU,91862293
252296466,G77593SO,91862292
252296465,G79860AW,91862291
252296464,G10271ZL,91862290
252296463,G20740BJ,91862289
252296462,G91624NX,91862288
252296461,G12728FA,7057906
252296460,G76642KE,91862287
252296459,G88985DM,91862286
252296458,G46717IL,91862285
252296457,G30624CY,91862284
252296456,G48353MP,91862283
252296455,G11083BR,91862282
252296454,G78508JX,91862281
252296453,G83502KS,91862280
252296452,G50013XL,91862279
252296451,G54121EO,91862278
252296450,G23378JF,91862277
252296449,G60514VK,91862276
252296448,G62256YM,42552739
252296447,G83948CA,71297495
252296446,G21147BK,71298506
252296445,G59746QC,91862275
252296444,G68566EL,91862274
252296443,G69879PJ,91862273
252296442,G01598JW,91862272
252296441,G76423FP,91862271
252296440,G67988CM,91862270
252296439,G62562XY,91862269
252296438,G61792RL,91862268
252296437,G92606DY,5288907
252296436,G74922DZ,91862267
252296435,G01309BG,91862266
252296434,G93575MM,56927864
252296433,G59823XZ,91862265
252296432,G80636BF,6323336
252296431,G29566CR,91862264
252296430,G83632HN,14603323
252296429,G71668KZ,91862263
252296428,G23890HU,91862262
252296427,G34960HZ,91862261
252296426,G86601RH,91862260
252296425,G01714MI,91862259
252296424,G13322RS,91862258
252296423,G65515HD,91862257
252296422,G96741HL,91862256
252296421,G68853UT,91862255
252296420,G00055MO,439271
252296419,G15781VR,11815243
252296418,G37650GY,91862254
252296417,G70966LP,449370
252296416,G82234ZF,91862253
252296415,G93806SL,91862252
252296414,G02141TI,91862251
252296413,G60419KX,91862250
252296412,G13716MF,91862249
252296411,G43603TQ,91862248
252296410,G63359CB,91862247
252296409,G21904JF,91862246
252296408,G37379LG,91862245
252296407,G73466QZ,91862244
252296406,G47446VC,91862243
252296405,G74840NI,439680
252296404,G03114TJ,91862242
252296403,G06682UJ,91862241
252296402,G45446PC,91862240
252296401,G07394RV,91862239
252296400,G92509CI,91862238
252296399,G62877XX,91862237
252296398,G85232YD,91862236
252296397,G12984CP,91862235
252296396,G78800HY,439639
252296395,G89200YD,91862234
252296394,G84936ON,91862233
252296393,G17077FL,91862232
252296392,G99503MW,91862231
252296391,G54025XK,91862230
252296390,G34346TQ,91862229
252296389,G86211GT,13766536
252296388,G22117HL,91862228
252296387,G61506QU,91862227
252296386,G78807JW,91862226
252296385,G09139MX,91862225
252296384,G06172PE,91862224
252296383,G40821RK,91862223
252296382,G99730WL,45266811
252296381,G65825CX,91862222
252296380,G45668LD,91862221
252296379,G88691IX,91862220
252296378,G42769XG,91862219
252296377,G22117YV,91862218
252296376,G22550JF,91862217
252296375,G42256GD,91862216
252296374,G11932OH,91862215
252296373,G05892GB,91862214
252296372,G00728SN,91862213
252296371,G42984ZU,91862212
252296370,G94206PM,91862211
252296369,G12239NR,91862210
252296368,G64678ML,91862209
252296367,G94926TV,71297610
252296366,G98873FK,91862208
252296365,G65215OP,6857565
252296364,G34345EF,91862207
252296363,G27891CC,91862206
252296362,G88864RV,91862205
252296361,G39194QF,91862204
252296360,G63844ND,91862203
252296359,G05546WG,91862202
252296358,G94162EJ,91862201
252296357,G97084RT,91862200
252296356,G24585JV,71297549
252296355,G30999DM,53664881
252296354,G34572JF,91862199
252296353,G53102EJ,91862198
252296352,G74926AA,91862197
252296351,G75457NU,56927740
252296350,G06107IE,21145993
252296349,G83842VI,91862196
252296348,G07225YO,91862195
252296347,G64636AT,21596276
252296346,G39637GN,91862194
252296345,G43687XR,91862193
252296344,G80568PN,91862192
252296343,G33761NS,5288337
252296342,G53569UP,91862191
252296341,G82239HM,213871
252296340,G54352RN,91862190
252296339,G56250YO,91851596
252296338,G92240HQ,91862189
252296337,G38995BE,71298188
252296336,G77782LX,91862188
252296335,G01421IW,91862187
252296334,G49761JR,91862186
252296333,G43686JS,66574984
252296332,G85744BI,91862185
252296331,G37818NW,91862184
252296330,G03118WZ,91862183
252296329,G39657YI,15608650
252296328,G65867II,91862182
252296327,G43724HA,440001
252296326,G07703TZ,91862181
252296325,G97410TA,91862180
252296324,G21424PM,91862179
252296323,G53905OT,91862178
252296322,G94896EL,91862177
252296321,G77062LE,91862176
252296320,G34805OT,91862175
252296319,G07861ZQ,91862174
252296318,G69734RY,91862173
252296317,G43235JF,91862172
252296316,G79869GI,91862171
252296315,G14629XU,91862170
252296314,G17039ZC,91862169
252296313,G82829MF,91862168
252296312,G67624GB,91862167
252296311,G34905OT,91862166
252296310,G13938SZ,91862165
252296309,G66284CX,91862164
252296308,G86749FU,91862163
252296307,G26581LB,91862162
252296306,G27179CQ,91862161
252296305,G17684HY,91862160
252296304,G86373MG,440997
252296303,G02789DS,53239700
252296302,G45592HR,91862159
252296301,G18596TW,91862158
252296300,G55220VL,70698382
252296299,G32030NO,91862157
252296298,G60430MQ,91862156
252296297,G97235YL,91862155
252296296,G73148EP,9920533
252296295,G27606SJ,91862154
252296294,G65697SK,91862153
252296293,G77539YS,91862152
252296292,G06837EQ,91862151
252296291,G52953AB,91862150
252296290,G74724PV,44263850
