accession	replace
G58194AN	G88797RS
G03592GE	G27157JE
G77547TA	G73443MR
G88240TI	G72493DI
G96091TT	G02351CQ
G15856SK	G98899BP
G48577CN	G94350ME
G70324YS	G34904RS
G11805YU	G34736WD
G83806FR	G46493LH
G25469RD	G55312IU
G17182UH	G32306YE
G18759GP	G28643ZB
G29184RN	G55246TU
