"gtc"	"ch"
"https://glytoucan.org/Structures/Glycans/G09530UF"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71277"
"https://glytoucan.org/Structures/Glycans/G09530UF"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71313"
"https://glytoucan.org/Structures/Glycans/G00037MO"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71341"
"https://glytoucan.org/Structures/Glycans/G08872UM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71342"
"https://glytoucan.org/Structures/Glycans/G00035MO"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71344"
"https://glytoucan.org/Structures/Glycans/G00041MO"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71411"
"https://glytoucan.org/Structures/Glycans/G10488WF"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71421"
"https://glytoucan.org/Structures/Glycans/G10167WZ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71429"
"https://glytoucan.org/Structures/Glycans/G08555XQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71435"
"https://glytoucan.org/Structures/Glycans/G08555XQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71443"
"https://glytoucan.org/Structures/Glycans/G03228NK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71452"
"https://glytoucan.org/Structures/Glycans/G10666VQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71454"
